nome_anime,quantidade_episodios,nota_anime
Sousou no Frieren,TV (28 eps),9.31
Fullmetal Alchemist: Brotherhood,TV (64 eps),9.10
Steins;Gate,TV (24 eps),9.07
One Piece Fan Letter,TV Special (1 eps),9.06
Shingeki no Kyojin Season 3 Part 2,TV (10 eps),9.05
Gintama°,TV (51 eps),9.05
Gintama: The Final,Movie (1 eps),9.04
Hunter x Hunter (2011),TV (148 eps),9.03
Gintama',TV (51 eps),9.02
Gintama': Enchousen,TV (13 eps),9.02
Ginga Eiyuu Densetsu,OVA (110 eps),9.01
Bleach: Sennen Kessen-hen,TV (13 eps),9.00
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),8.99
Gintama.,TV (12 eps),8.98
Fruits Basket: The Final,TV (13 eps),8.96
Clannad: After Story,TV (24 eps),8.93
Gintama,TV (201 eps),8.93
Koe no Katachi,Movie (1 eps),8.93
3-gatsu no Lion 2nd Season,TV (22 eps),8.91
Code Geass: Hangyaku no Lelouch R2,TV (25 eps),8.91
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),8.90
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),8.88
Kusuriya no Hitorigoto,TV (24 eps),8.88
Monster,TV (74 eps),8.88
Owarimonogatari 2nd Season,TV Special (7 eps),8.87
Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special (2 eps),8.87
Violet Evergarden Movie,Movie (1 eps),8.85
Kimi no Na wa.,Movie (1 eps),8.83
Kingdom 3rd Season,TV (26 eps),8.83
Ore dake Level Up na Ken Season 2: Arise from the Shadow,TV (13 eps),8.81
Gintama. Shirogane no Tamashii-hen,TV (12 eps),8.81
Vinland Saga Season 2,TV (24 eps),8.81
Mob Psycho 100 II,TV (13 eps),8.79
Kizumonogatari III: Reiketsu-hen,Movie (1 eps),8.78
Shingeki no Kyojin: The Final Season,TV (16 eps),8.78
Hajime no Ippo,TV (75 eps),8.78
Boku no Kokoro no Yabai Yatsu 2nd Season,TV (13 eps),8.77
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps),8.77
Jujutsu Kaisen 2nd Season,TV (23 eps),8.77
Sen to Chihiro no Kamikakushi,Movie (1 eps),8.77
Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),8.76
Vinland Saga,TV (24 eps),8.76
Bocchi the Rock!,TV (12 eps),8.76
Monogatari Series: Second Season,TV (26 eps),8.76
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie (1 eps),8.75
Kusuriya no Hitorigoto 2nd Season,TV (24 eps),8.75
Cowboy Bebop,TV (26 eps),8.75
Ashita no Joe 2,TV (47 eps),8.74
The First Slam Dunk,Movie (1 eps),8.74
Shiguang Dailiren,ONA (11 eps),8.73
