nome,eps
Sousou no Frieren,TV (28 eps)
Fullmetal Alchemist: Brotherhood,TV (64 eps)
Steins;Gate,TV (24 eps)
One Piece Fan Letter,TV Special (1 eps)
Shingeki no Kyojin Season 3 Part 2,TV (10 eps)
Gintama°,TV (51 eps)
Gintama: The Final,Movie (1 eps)
Hunter x Hunter (2011),TV (148 eps)
Gintama',TV (51 eps)
Gintama': Enchousen,TV (13 eps)
Ginga Eiyuu Densetsu,OVA (110 eps)
Bleach: Sennen Kessen-hen,TV (13 eps)
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps)
Gintama.,TV (12 eps)
Fruits Basket: The Final,TV (13 eps)
Clannad: After Story,TV (24 eps)
Gintama,TV (201 eps)
Koe no Katachi,Movie (1 eps)
3-gatsu no Lion 2nd Season,TV (22 eps)
Code Geass: Hangyaku no Lelouch R2,TV (25 eps)
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps)
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps)
Kusuriya no Hitorigoto,TV (24 eps)
Monster,TV (74 eps)
Owarimonogatari 2nd Season,TV Special (7 eps)
Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special (2 eps)
Violet Evergarden Movie,Movie (1 eps)
Kimi no Na wa.,Movie (1 eps)
Kingdom 3rd Season,TV (26 eps)
Ore dake Level Up na Ken Season 2: Arise from the Shadow,TV (13 eps)
Gintama. Shirogane no Tamashii-hen,TV (12 eps)
Vinland Saga Season 2,TV (24 eps)
Mob Psycho 100 II,TV (13 eps)
Kizumonogatari III: Reiketsu-hen,Movie (1 eps)
Shingeki no Kyojin: The Final Season,TV (16 eps)
Hajime no Ippo,TV (75 eps)
Boku no Kokoro no Yabai Yatsu 2nd Season,TV (13 eps)
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps)
Jujutsu Kaisen 2nd Season,TV (23 eps)
Sen to Chihiro no Kamikakushi,Movie (1 eps)
Shingeki no Kyojin: The Final Season Part 2,TV (12 eps)
Vinland Saga,TV (24 eps)
Bocchi the Rock!,TV (12 eps)
Monogatari Series: Second Season,TV (26 eps)
Kusuriya no Hitorigoto 2nd Season,TV (24 eps)
Cowboy Bebop,TV (26 eps)
Ashita no Joe 2,TV (47 eps)
The First Slam Dunk,Movie (1 eps)
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie (1 eps)
Kimetsu no Yaiba: Yuukaku-hen,TV (11 eps)
Kingdom 4th Season,TV (26 eps)
One Piece,TV (? eps)
Shiguang Dailiren,ONA (11 eps)
Kingdom 5th Season,TV (13 eps)
Mushishi Zoku Shou 2nd Season,TV (10 eps)
Hibike! Euphonium 3,TV (13 eps)
86 Part 2,TV (12 eps)
Mob Psycho 100 III,TV (12 eps)
Monogatari Series: Off & Monster Season,ONA (14 eps)
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps)
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps)
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV (13 eps)
Bleach: Sennen Kessen-hen - Soukoku-tan,TV (14 eps)
Code Geass: Hangyaku no Lelouch,TV (25 eps)
Mushishi Zoku Shou,TV (10 eps)
Look Back,Movie (1 eps)
Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps)
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,TV (16 eps)
Great Teacher Onizuka,TV (43 eps)
Violet Evergarden,TV (13 eps)
Hajime no Ippo: New Challenger,TV (26 eps)
Howl no Ugoku Shiro,Movie (1 eps)
Mononoke Hime,Movie (1 eps)
Tian Guan Cifu Er,ONA (12 eps)
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps)
Mushishi,TV (26 eps)
Odd Taxi,TV (13 eps)
Made in Abyss,TV (13 eps)
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps)
